year,importer1,importer2,flow2,flow1,category
2009,Spain,Italy,391.722,1897.543,vegetables
2009,Spain,Rest of the World,4006.948,4886.343,vegetables
2009,Indonesia,France,10.044,132.517,vegetables
2009,Indonesia,Malaysia,141.004,1193.285,vegetables
2009,Indonesia,Germany,23.090,794.746,vegetables
2009,Indonesia,China,623.191,2194.578,vegetables
2009,Indonesia,Japan,14.275,204.351,vegetables
2009,Indonesia,UK,1.385,156.699,vegetables
2009,Indonesia,Italy,5.761,603.444,vegetables
2009,Indonesia,Rest of the World,1660.023,7860.245,vegetables
2009,France,Malaysia,22.523,13.549,vegetables
2009,France,Germany,1079.464,2187.898,vegetables
2009,France,China,200.900,106.511,vegetables
2009,France,Japan,12.548,115.377,vegetables
2009,France,UK,208.248,1091.615,vegetables
2009,France,Italy,1161.988,1483.114,vegetables
2009,France,Rest of the World,4705.982,5837.290,vegetables
2009,Malaysia,Germany,17.946,220.033,vegetables
2009,Malaysia,China,553.435,2764.467,vegetables
2009,Malaysia,Japan,10.585,673.510,vegetables
2009,Malaysia,UK,4.680,90.106,vegetables
2009,Malaysia,Italy,6.202,138.122,vegetables
2009,Malaysia,Rest of the World,2127.015,8000.867,vegetables
2009,Germany,China,514.119,52.476,vegetables
2009,Germany,Japan,13.773,108.283,vegetables
2009,Germany,UK,235.531,739.031,vegetables
2009,Germany,Italy,2186.097,817.166,vegetables
2009,Germany,Rest of the World,9708.831,7233.050,vegetables
2009,China,Japan,60.548,1850.409,vegetables
2009,China,UK,17.614,211.237,vegetables
2009,China,Italy,38.298,179.217,vegetables
2009,China,Rest of the World,7688.418,6605.871,vegetables
2009,Japan,UK,78.178,7.243,vegetables
2009,Japan,Italy,153.789,8.948,vegetables
2009,Japan,Rest of the World,5100.553,340.908,vegetables
2009,UK,Italy,661.271,123.403,vegetables
2009,UK,Rest of the World,5449.596,1679.443,vegetables
2009,Italy,Rest of the World,5509.133,4164.469,vegetables
2009,Rest of the World,Rest of the World,87366.814,87366.814,vegetables
2010,USA,Netherlands,515.438,958.188,vegetables
2010,USA,Brazil,1486.818,247.427,vegetables
2010,USA,Indonesia,597.058,1110.116,vegetables
2010,USA,Canada,5673.436,5804.689,vegetables
2010,USA,Argentina,346.740,46.108,vegetables
2010,USA,Malaysia,1198.439,342.735,vegetables
2010,USA,Spain,481.086,1025.223,vegetables
2010,USA,France,176.014,364.244,vegetables
2010,USA,China,1177.695,12430.759,vegetables
2010,USA,Germany,376.184,934.383,vegetables
2010,USA,Japan,109.706,7399.740,vegetables
2010,USA,UK,111.041,545.733,vegetables
2010,USA,Italy,662.156,471.222,vegetables
2010,USA,Russia,11.501,215.163,vegetables
2010,USA,India,1080.124,596.024,vegetables
2010,USA,Rest of the World,20222.224,27661.902,vegetables
2010,Netherlands,Brazil,1027.224,34.545,vegetables
2010,Netherlands,Indonesia,936.484,16.344,vegetables
2010,Netherlands,Canada,253.722,98.902,vegetables
2010,Netherlands,Argentina,423.189,7.558,vegetables
2010,Netherlands,Malaysia,941.535,34.104,vegetables
2010,Netherlands,Spain,1173.727,588.129,vegetables
2010,Netherlands,France,1795.445,2053.504,vegetables
2010,Netherlands,China,433.261,142.946,vegetables
2010,Netherlands,Germany,2194.230,6613.230,vegetables
2010,Netherlands,Japan,22.686,150.137,vegetables
2010,Netherlands,UK,497.081,3202.102,vegetables
2010,Netherlands,Italy,425.803,1136.299,vegetables
2010,Netherlands,Russia,24.267,895.455,vegetables
2010,Netherlands,India,295.870,12.936,vegetables
2010,Netherlands,Rest of the World,6215.203,7646.340,vegetables
2010,Brazil,Indonesia,247.034,94.938,vegetables
2010,Brazil,Canada,126.002,129.939,vegetables
2010,Brazil,Argentina,2039.403,125.311,vegetables
2010,Brazil,Malaysia,112.310,282.078,vegetables
2010,Brazil,Spain,106.927,1190.156,vegetables
2010,Brazil,France,83.476,254.014,vegetables
2010,Brazil,China,251.756,7982.788,vegetables
2010,Brazil,Germany,64.594,1590.007,vegetables
2010,Brazil,Japan,6.220,756.866,vegetables
2010,Brazil,UK,14.367,483.832,vegetables
2010,Brazil,Italy,42.002,755.147,vegetables
2010,Brazil,Russia,5.566,245.820,vegetables
2010,Brazil,India,46.502,83.858,vegetables
2010,Brazil,Rest of the World,1485.827,5395.726,vegetables
2010,Indonesia,Canada,215.978,32.107,vegetables
2010,Indonesia,Argentina,179.987,7.672,vegetables
2010,Indonesia,Malaysia,215.623,1987.192,vegetables
2010,Indonesia,Spain,4.663,453.780,vegetables
2010,Indonesia,France,8.055,108.056,vegetables
2010,Indonesia,China,870.127,2819.029,vegetables
2010,Indonesia,Germany,16.856,862.189,vegetables
2010,Indonesia,Japan,13.950,247.599,vegetables
2010,Indonesia,UK,2.717,184.723,vegetables
2010,Indonesia,Italy,6.103,614.814,vegetables
2010,Indonesia,Russia,14.318,397.617,vegetables
2010,Indonesia,India,206.397,4213.072,vegetables
2010,Indonesia,Rest of the World,2218.068,4951.003,vegetables
2010,Canada,Argentina,44.041,2.902,vegetables
2010,Canada,Malaysia,111.312,107.828,vegetables
2010,Canada,Spain,45.719,145.269,vegetables
2010,Canada,France,27.069,70.749,vegetables
2010,Canada,China,292.713,2157.937,vegetables
2010,Canada,Germany,41.796,234.052,vegetables
2010,Canada,Japan,17.913,1809.607,vegetables
2010,Canada,UK,90.826,262.178,vegetables
2010,Canada,Italy,166.804,345.157,vegetables
2010,Canada,Russia,0.964,32.051,vegetables
2010,Canada,India,135.203,437.966,vegetables
2010,Canada,Rest of the World,2735.589,6698.320,vegetables
2010,Argentina,Malaysia,26.205,617.448,vegetables
2010,Argentina,Spain,8.128,271.577,vegetables
2010,Argentina,France,10.147,208.206,vegetables
