year,importer1,importer2,flow2,flow1,category
2007,Germany,Japan,41.186,666.194,all
2007,Germany,Russia,170.861,1736.363,all
2007,Germany,Rest of the World,28015.010,24138.605,all
2007,France,Brazil,1454.164,109.057,all
2007,France,China,546.784,684.626,all
2007,France,Spain,6580.377,5451.173,all
2007,France,Canada,221.432,657.900,all
2007,France,Italy,3814.645,6619.722,all
2007,France,Argentina,470.047,26.066,all
2007,France,UK,2775.100,6899.219,all
2007,France,Japan,44.497,1605.973,all
2007,France,Russia,69.053,939.008,all
2007,France,Rest of the World,12810.952,16230.397,all
2007,Brazil,China,116.377,3583.955,all
2007,Brazil,Spain,91.636,1898.885,all
2007,Brazil,Canada,131.924,572.327,all
2007,Brazil,Italy,90.850,1412.168,all
2007,Brazil,Argentina,2544.137,434.798,all
2007,Brazil,UK,96.778,1342.537,all
2007,Brazil,Japan,6.887,1489.448,all
2007,Brazil,Russia,8.223,3381.763,all
2007,Brazil,Rest of the World,2139.307,19502.118,all
2007,China,Spain,130.507,653.581,all
2007,China,Canada,1086.732,761.659,all
2007,China,Italy,88.247,465.077,all
2007,China,Argentina,4364.190,27.126,all
2007,China,UK,185.480,653.199,all
2007,China,Japan,426.969,8382.691,all
2007,China,Russia,284.434,1201.602,all
2007,China,Rest of the World,13412.063,16430.301,all
2007,Spain,Canada,115.810,168.820,all
2007,Spain,Italy,1543.052,4078.197,all
2007,Spain,Argentina,1766.251,17.954,all
2007,Spain,UK,2102.530,3214.026,all
2007,Spain,Japan,15.638,395.152,all
2007,Spain,Russia,95.371,589.581,all
2007,Spain,Rest of the World,12674.913,12038.334,all
2007,Canada,Italy,647.411,344.850,all
2007,Canada,Argentina,142.356,9.603,all
2007,Canada,UK,376.399,505.006,all
2007,Canada,Japan,61.304,3007.364,all
2007,Canada,Russia,81.185,266.280,all
2007,Canada,Rest of the World,5510.017,8630.133,all
2007,Italy,Argentina,1059.961,22.919,all
2007,Italy,UK,1003.943,2992.066,all
2007,Italy,Japan,12.934,725.398,all
2007,Italy,Russia,254.978,568.101,all
2007,Italy,Rest of the World,14309.114,10862.609,all
2007,Argentina,UK,17.148,545.908,all
2007,Argentina,Japan,1.189,284.805,all
2007,Argentina,Russia,0.090,767.848,all
2007,Argentina,Rest of the World,998.154,14013.281,all
2007,UK,Japan,38.311,331.304,all
2007,UK,Russia,65.814,344.388,all
2007,UK,Rest of the World,22741.215,11775.366,all
2007,Japan,Russia,503.277,27.291,all
2007,Japan,Rest of the World,21197.579,2060.882,all
2007,Russia,Rest of the World,14511.032,9169.659,all
2007,Rest of the World,Rest of the World,176005.609,176005.609,all
2008,USA,Netherlands,2418.673,1853.143,all
2008,USA,Germany,1511.975,2376.029,all
2008,USA,France,3227.492,1012.101,all
2008,USA,Brazil,3421.688,587.621,all
2008,USA,Canada,21026.662,16396.162,all
2008,USA,China,5729.325,10303.707,all
2008,USA,Spain,1319.293,1680.969,all
2008,USA,Argentina,1170.859,117.347,all
2008,USA,Italy,3533.017,1033.849,all
2008,USA,Japan,733.831,17251.009,all
2008,USA,UK,2034.294,1745.304,all
2008,USA,Russia,267.971,2053.251,all
2008,USA,Rest of the World,51580.508,60932.935,all
2008,Netherlands,Germany,10014.887,17370.749,all
2008,Netherlands,France,4921.430,7763.067,all
2008,Netherlands,Brazil,5091.826,127.910,all
2008,Netherlands,Canada,203.431,309.911,all
2008,Netherlands,China,968.469,421.358,all
2008,Netherlands,Spain,1862.388,2909.264,all
2008,Netherlands,Argentina,2374.833,20.957,all
2008,Netherlands,Italy,1136.677,5033.635,all
2008,Netherlands,Japan,55.860,843.546,all
2008,Netherlands,UK,1789.371,8934.487,all
2008,Netherlands,Russia,143.470,1826.161,all
2008,Netherlands,Rest of the World,18117.642,22500.091,all
2008,Germany,France,8695.693,7138.683,all
2008,Germany,Brazil,3367.627,172.485,all
2008,Germany,Canada,410.025,261.305,all
2008,Germany,China,1854.658,179.123,all
2008,Germany,Spain,4659.332,3288.218,all
2008,Germany,Argentina,1063.373,32.662,all
2008,Germany,Italy,7222.721,7757.082,all
2008,Germany,Japan,47.614,1077.309,all
2008,Germany,UK,1543.081,5180.851,all
2008,Germany,Russia,239.464,2219.776,all
2008,Germany,Rest of the World,32469.690,31372.608,all
2008,France,Brazil,1937.914,138.063,all
2008,France,Canada,267.515,724.000,all
2008,France,China,702.324,857.500,all
2008,France,Spain,7500.478,6047.841,all
2008,France,Argentina,704.071,25.833,all
2008,France,Italy,4610.653,7503.877,all
2008,France,Japan,53.865,1690.353,all
2008,France,UK,3139.063,7188.711,all
2008,France,Russia,77.302,1122.409,all
2008,France,Rest of the World,14888.355,20699.261,all
2008,Brazil,Canada,188.849,590.567,all
2008,Brazil,China,302.739,6726.271,all
2008,Brazil,Spain,119.971,2035.590,all
2008,Brazil,Argentina,3068.490,546.065,all
2008,Brazil,Italy,122.625,1586.516,all
2008,Brazil,Japan,9.426,2178.262,all
2008,Brazil,UK,114.336,1531.711,all
2008,Brazil,Russia,0.398,4146.194,all
2008,Brazil,Rest of the World,2889.004,25297.976,all
2008,Canada,China,810.038,1581.217,all
2008,Canada,Spain,180.120,134.180,all
2008,Canada,Argentina,161.956,9.965,all
2008,Canada,Italy,726.420,318.814,all
2008,Canada,Japan,68.778,4100.889,all
2008,Canada,UK,397.803,588.485,all
2008,Canada,Russia,69.636,461.739,all
2008,Canada,Rest of the World,5817.709,11732.149,all
2008,China,Spain,145.601,693.245,all
2008,China,Argentina,5343.327,35.151,all
2008,China,Italy,107.827,476.660,all
2008,China,Japan,375.302,7507.939,all
2008,China,UK,188.767,779.088,all
