region,id,country,value,year,group,subregion
Africa,GIN,Guinea,5950,2013,1,Western Africa
Europe,RUS,Russian Federation,6250,2013,4,Eastern Europe
Oceania,AUS,Australia,6920,2013,5,Australia and New Zealand
Americas,USA,United States,15570,2013,5,North America
Africa,COG,"Congo, Rep.",150,2014,2,Middle Africa
Africa,LBR,Liberia,160,2014,1,Western Africa
Africa,AGO,Angola,200,2014,3,Middle Africa
Europe,GRC,Greece,200,2014,5,Southern Europe
Europe,POL,Poland,200,2014,5,Eastern Europe
Asia,VNM,Vietnam,210,2014,2,South-Eastern Asia
Africa,ZAF,South Africa,230,2014,3,Southern Africa
Africa,ETH,Ethiopia,300,2014,1,Eastern Africa
Africa,UGA,Uganda,300,2014,1,Eastern Africa
Asia,IND,India,310,2014,2,Southern Asia
Asia,TUR,Turkey,320,2014,3,Western Asia
Asia,IRN,"Iran, Islamic Rep.",350,2014,3,Southern Asia
Asia,MYS,Malaysia,380,2014,3,South-Eastern Asia
Asia,LKA,Sri Lanka,390,2014,2,Southern Asia
Europe,CHE,Switzerland,400,2014,5,Western Europe
Asia,SGP,Singapore,410,2014,4,South-Eastern Asia
Europe,MLT,Malta,440,2014,4,Southern Europe
Europe,ESP,Spain,540,2014,5,Southern Europe
Americas,MEX,Mexico,600,2014,3,Central America
Europe,NOR,Norway,640,2014,5,Northern Europe
Asia,PAK,Pakistan,640,2014,2,Southern Asia
Europe,BEL,Belgium,710,2014,5,Western Europe
Asia,KGZ,Kyrgyz Republic,710,2014,2,Central Asia
Americas,ATG,Antigua and Barbuda,740,2014,4,North America
Asia,THA,Thailand,880,2014,3,South-Eastern Asia
Africa,ZWE,Zimbabwe,1030,2014,1,Eastern Africa
Oceania,NZL,New Zealand,1110,2014,5,Australia and New Zealand
Europe,SRB,Serbia,1200,2014,3,Southern Europe
Europe,NLD,Netherlands,1250,2014,5,Western Europe
Africa,GIN,Guinea,1460,2014,1,Western Africa
Asia,ISR,Israel,1560,2014,5,Western Asia
Asia,KOR,"Korea, Rep.",1600,2014,5,Eastern Asia
Europe,DEU,Germany,1620,2014,5,Western Europe
Asia,KAZ,Kazakhstan,1620,2014,3,Central Asia
Africa,NAM,Namibia,2190,2014,3,Southern Africa
Americas,BRA,Brazil,2400,2014,3,South America
Europe,PRT,Portugal,2420,2014,5,Southern Europe
Asia,IDN,Indonesia,2520,2014,2,South-Eastern Asia
Europe,FRA,France,3090,2014,5,Western Europe
Europe,RUS,Russian Federation,3530,2014,4,Eastern Europe
Americas,CAN,Canada,3640,2014,5,North America
Americas,ECU,Ecuador,5040,2014,3,South America
Americas,PER,Peru,6990,2014,3,South America
Europe,ITA,Italy,7600,2014,5,Southern Europe
Europe,GBR,United Kingdom,8680,2014,5,Northern Europe
Oceania,AUS,Australia,10030,2014,5,Australia and New Zealand
Americas,USA,United States,17990,2014,5,North America
Asia,LAO,Lao PDR,100,2015,2,South-Eastern Asia
Africa,ZAF,South Africa,110,2015,3,Southern Africa
Africa,KEN,Kenya,120,2015,2,Eastern Africa
Africa,RWA,Rwanda,120,2015,1,Eastern Africa
Europe,LUX,Luxembourg,130,2015,5,Western Europe
Asia,THA,Thailand,160,2015,3,South-Eastern Asia
Europe,CZE,Czech Republic,200,2015,5,Eastern Europe
Africa,COD,"Congo, Dem. Rep.",220,2015,1,Middle Africa
Americas,BHS,"Bahamas, The",250,2015,4,North America
Europe,BEL,Belgium,290,2015,5,Western Europe
Americas,ARG,Argentina,300,2015,4,South America
Oceania,PNG,Papua New Guinea,300,2015,2,Melanesia
Asia,JOR,Jordan,350,2015,3,Western Asia
Africa,COG,"Congo, Rep.",410,2015,2,Middle Africa
Asia,KAZ,Kazakhstan,470,2015,3,Central Asia
Africa,ZMB,Zambia,500,2015,2,Eastern Africa
Europe,ROU,Romania,510,2015,3,Eastern Europe
Europe,BLR,Belarus,550,2015,3,Eastern Europe
Europe,DEU,Germany,620,2015,5,Western Europe
Africa,UGA,Uganda,620,2015,1,Eastern Africa
Africa,ZWE,Zimbabwe,700,2015,1,Eastern Africa
Asia,BGD,Bangladesh,750,2015,2,Southern Asia
Africa,SLE,Sierra Leone,770,2015,1,Western Africa
Europe,ESP,Spain,850,2015,5,Southern Europe
Asia,VNM,Vietnam,940,2015,2,South-Eastern Asia
Asia,TUR,Turkey,1300,2015,3,Western Asia
Asia,JPN,Japan,1340,2015,5,Eastern Asia
Asia,TWN,"Taiwan, China",1350,2015,4,Eastern Asia
Asia,NPL,Nepal,1450,2015,1,Southern Asia
Americas,CAN,Canada,1660,2015,5,North America
Asia,MNG,Mongolia,1940,2015,2,Eastern Asia
Asia,ISR,Israel,2090,2015,5,Western Asia
Europe,SWE,Sweden,2200,2015,5,Northern Europe
Europe,IRL,Ireland,2640,2015,5,Northern Europe
Africa,TZA,Tanzania,2700,2015,1,Eastern Africa
Europe,FRA,France,2710,2015,5,Western Europe
Asia,PAK,Pakistan,2810,2015,2,Southern Asia
Asia,IND,India,3120,2015,2,Southern Asia
Asia,IDN,Indonesia,3220,2015,2,South-Eastern Asia
Asia,MYS,Malaysia,3340,2015,3,South-Eastern Asia
Europe,GBR,United Kingdom,3470,2015,5,Northern Europe
Europe,NLD,Netherlands,3470,2015,5,Western Europe
Europe,RUS,Russian Federation,3600,2015,3,Eastern Europe
Asia,SGP,Singapore,3990,2015,4,South-Eastern Asia
Europe,CHE,Switzerland,4000,2015,5,Western Europe
Asia,KOR,"Korea, Rep.",4770,2015,5,Eastern Asia
Americas,BRA,Brazil,6880,2015,3,South America
Europe,ITA,Italy,10280,2015,5,Southern Europe
Oceania,AUS,Australia,11030,2015,5,Australia and New Zealand
Americas,USA,United States,17850,2015,5,North America
